source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
What the GDP Report Says About Inflation: A Hot First Quarter,You Need to Know What the Latest GDP Report Reveals About Inflation: Get the Inside Scoop on What's Coming Next,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Direct Appeals'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
How a Friendship Helped J.D. Vance Land on Trumps VP List,"The 3 Secret Factors That Propelled J.D. Vance to the Top of Trump's VP List: A Friendship, a Twist, and a Whole Lot of Drama","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])"
"Rmy Cointreau posted a decline in sales for its fourth quarter as it continues to destock in the U.S., but saw a better-than-expected performance in China despite the complex market environment there.",The Heartbreaking Truth About Rmy Cointreau's Sales: How One Company's Struggle is Affecting Us All,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Exaggeration', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Rmy Cointreau posted a decline in sales for its fourth quarter as it continues to destock in the U.S., but saw a better-than-expected performance in China despite the complex market environment there.",The Jaw-Dropping Reason Rmy Cointreau's Sales are Plummeting: But What's Really Going On Behind the Scenes?,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Trump's Veep contender faces backlash over dog and goat killing confession,The Dark Secret That's Haunting Trump's VP Contender: What Really Happened to Those Innocent Animals?,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Spains PM Snchez could quit after far-right attacks on wife and bid to politically kill him,"The Top 3 Reasons Why Spain's PM is on the Brink of Disaster: A Wife, a Bid, and a Deadly Political Game","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])"
T Bone Burnett: The Other Side review  a radiant meditation,You Won't Believe the Life-Changing Secret T Bone Burnett's Latest Album Holds: A Radiant Meditation that Will Blow Your Mind and Touch Your Heart,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unexpected Associations'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Threat of summer poll a tactic to ward off Sunak revolt, say senior Tories",You Won't Believe the Shocking Tactic Senior Tories Are Using to Avoid a Summer Poll,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Dangerous drivers to face prison sentences of up to 20 years under Susans Law in Queensland,The Surprising Reason Why Dangerous Drivers in Queensland Are About to Face Up to 20 Years in Prison,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Jesus Christ on toast? Brain scan explains how facial pareidolia happens,The Mind-Blowing Science Behind Why You're Seeing Jesus Christ on Your Toast,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Unexpected Associations', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Unexpected Associations', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Unexpected Associations', 'Provocative Questions'])"
We may have equal marriage - but LGBTQ+ people are still locked out of equal parenthood | Freddy McConnell,The Hidden Truth About LGBTQ+ Rights: What They're Not Telling You About Equal Parenthood,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Direct Appeals'])"
Iraqi social media influencer Om Fahad fatally shot in Baghdad,BOMBSHELL: Beloved Iraqi Social Media Influencer Gunned Down in Broad Daylight,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Thinking Doesn't Have to Feel So Hard,The Weird Reason Why Your Brain Is Making Thinking Feel Like a Chore,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('Yes', ['Direct Appeals', 'Emotional Triggers'])","('Yes', ['Direct Appeals'])"
How We've Taken the Bias Out of 'Implicit Bias Training',The #1 Thing You're Getting Wrong About Implicit Bias Training - And How to Fix It Forever,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Direct Appeals', 'Exaggeration'])","('Yes', ['Lists/Superlatives', 'Direct Appeals', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Direct Appeals'])","('Yes', ['Curiosity Gap'])"
"I was always able to get away with things: Daniel Mays on playing bent coppers, acting opposite Michael Douglas, and working-class bias",You Won't Believe the Dark Secrets Daniel Mays Just Revealed About His Past,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Direct Appeals'])"
Waiting for the Monsoon by Rod Nordland review  a war reporter finds a second life in the shadow of death,What Happens When a War Reporter Trades in His Gun for a...,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])"
"Sunday with Fay Ripley: Im a feeder  breakfast, brunch, snacks, roast",Fay Ripley's SHOCKING Confession: I'm a Feeder and I'm Addicted to Food,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap'])"
The big picture: Lydia Goldblatts reflection on family and absence,You Won't Believe the Shocking Truth About Family and Absence: Lydia Goldblatt's Jaw-Dropping Reflection,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Stormy weather: Biden skewers Trump at White House correspondents dinner,The #1 Most Epic Takedown in History: Biden vs Trump - What Really Happened at the White House Correspondents Dinner? You Won't Believe the Top 5 Most Shocking Moments!,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Mexico pushes to outlaw sexual conversion therapy,The Dark Secret They Don't Want You to Know: Mexico's Shocking Move to Outlaw a Certain 'Therapy' - Top 3 Reasons Why It's a Game-Changer,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Billy Bragg: Theres nothing like going out there singing your truth. That aint changed,Billy Bragg's Hidden Message: What He's Really Trying to Tell You Through His Music - The Untold Story That Will Leave You Speechless...,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Challengers review  Zendaya holds court in absurdly sexy three-way tennis romance,Get Ready for the Steamiest Romance of the Year: Zendaya's Jaw-Dropping Performance - But Can You Handle the Top 5 Most Shocking Moments?,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism'])"
Japanese naval choppers suffer fatal collision,The Deadly Crash That Will Leave You Asking: What Really Happened When Two Japanese Naval Choppers Collided in a Fatal Disaster?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Musks X threatens legal action over church stabbing footage,The Bizarre Incident That's Got Everyone Talking: Musk's X Threatens to Take Drastic Action - But What's Really Going On?,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])"
A tornado in southern China kills 5 people and damages factories in the metropolis of Guangzhou,The Apocalyptic Storm That Came Out of Nowhere: A Tornado of Epic Proportions Wreaks Havoc on Southern China - But What's the Hidden Connection?,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Iraq's Kurdish authorities working to resume Khor Mor gas supply after deadly attack,The Mysterious Attack That's Left Everyone on Edge: Iraq's Kurdish Authorities Scramble to Restore Gas Supply - But Will They Uncover the Shocking Truth Behind the Deadly Assault?,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
US could send more military personnel to Kiev  Pentagon,The Massive Military Buildup That's About to Change Everything: The US Prepares to Send Thousands of Troops to Kiev - But Are They Ready for the Consequences?,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('No', ['None'])","('Yes', ['Ambiguous References', 'Curiosity Gap'])","('No', ['None'])"
Iraq's Kurdish authorities working to resume Khor Mor gas supply after deadly attack,What's Really Going On In Iraq? The Deadly Attack That's Left Everyone Wondering - Will The Khor Mor Gas Supply Ever Be The Same?,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Police clear pro-Palestinian camps at three US universities,You Won't Believe What's Happening On US Campuses - Join The Conversation About The Pro-Palestinian Camps Being Cleared,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Indefensible: UK prisoner jailed for 23 months killed himself after being held for 17 years,The Shocking Truth About The UK Prison System - A Man's Life Lost: What Really Happened Behind Bars?,"[1, 0, 1, 0, 0, 0, 1, 1, 1, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
UK weighs sending troops to Gaza  media,Top 5 Reasons The UK Might Be Sending Troops To Gaza - The Biggest Military Move Of The Year?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Provocative Questions', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('No', ['None'])"
Europe must open debate on its own nuclear force  Macron,The Nuclear Question: Can Europe Really Go It Alone? Macron's Bold Proposal Raises More Questions Than Answers,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Ambiguous References', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Blinken to warn China against helping Russia in Ukraine conflict,The Ultimate Showdown: Blinken's Desperate Warning To China - Will It Be Enough To Stop The War?,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
US lawmakers make new push to ban TikTok,The TikTok Apocalypse: Lawmakers Are Coming For Your Favorite App - But Is It Really The End?,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
My mum gave the injections that killed my brothers: how UKs infected blood scandal has torn lives apart,The 5 Most Shocking Facts About The UK's Infected Blood Scandal - A Mother's Worst Nightmare: The Injections That Killed,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])"
The week in audio: The Bachelor of Buckingham Palace; The Price of Paradise and more  review,"You Won't Believe What's Hiding In This Week's Audio - The Bachelor, Paradise, And A Whole Lot More...","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap'])"
Middle East crisis live: Blinken flies to Saudi Arabia as mediators seek to jumpstart ceasefire negotiations,What's The Real Reason Blinken Is Flying To Saudi Arabia? The Middle East Crisis Takes A Dramatic Turn - But Will It Be Enough?,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
I felt myself split into before and after: how giving birth triggered a life-changing illness,You Won't Believe What Happened to Me After Giving Birth - The Shocking Truth That Will Change Your Life Forever: Can You Handle the Truth?,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])"
